DATE,CC Volume
5/17/2019,518
5/18/2019,106
5/19/2019,62
5/20/2019,539
5/21/2019,530
5/22/2019,479
5/23/2019,543
5/24/2019,397
5/25/2019,141
5/26/2019,46
5/27/2019,116
5/28/2019,601
5/29/2019,521
5/30/2019,577
5/31/2019,538
6/1/2019,157
6/2/2019,77
6/3/2019,622
6/4/2019,585
6/5/2019,540
6/6/2019,610
6/7/2019,501
6/8/2019,140
6/9/2019,60
6/10/2019,555
6/11/2019,505
6/12/2019,586
6/13/2019,578
6/14/2019,512
6/15/2019,134
6/16/2019,90
6/17/2019,787
6/18/2019,705
6/19/2019,688
6/20/2019,750
6/21/2019,704
6/22/2019,167
6/23/2019,93
6/24/2019,770
6/25/2019,720
6/26/2019,804
6/27/2019,702
6/28/2019,746
6/29/2019,139
6/30/2019,101
7/1/2019,823
7/2/2019,735
7/3/2019,660
7/4/2019,110
7/5/2019,389
7/6/2019,109
7/7/2019,75
7/8/2019,812
7/9/2019,676
7/10/2019,803
7/11/2019,647
7/12/2019,686
7/13/2019,140
7/14/2019,91
7/15/2019,886
7/16/2019,755
7/17/2019,796
7/18/2019,715
7/19/2019,667
7/20/2019,119
7/21/2019,105
7/22/2019,713
7/23/2019,607
7/24/2019,625
7/25/2019,646
7/26/2019,607
7/27/2019,114
7/28/2019,86
7/29/2019,688
7/30/2019,666
7/31/2019,617
8/1/2019,626
8/2/2019,629
8/3/2019,102
8/4/2019,65
8/5/2019,710
8/6/2019,651
8/7/2019,748
8/8/2019,657
8/9/2019,616
8/10/2019,114
8/11/2019,67
8/12/2019,702
8/13/2019,607
8/14/2019,672
8/15/2019,636
8/16/2019,611
8/17/2019,132
8/18/2019,84
8/19/2019,692
8/20/2019,682
8/21/2019,711
8/22/2019,687
8/23/2019,662
8/24/2019,106
8/25/2019,73
8/26/2019,780
8/27/2019,690
8/28/2019,752
8/29/2019,574
8/30/2019,577
8/31/2019,123
9/1/2019,74
9/2/2019,102
9/3/2019,775
9/4/2019,717
9/5/2019,654
9/6/2019,691
9/7/2019,120
9/8/2019,91
9/9/2019,706
9/10/2019,685
9/11/2019,650
9/12/2019,713
9/13/2019,687
9/14/2019,137
9/15/2019,75
9/16/2019,766
9/17/2019,684
9/18/2019,661
9/19/2019,760
9/20/2019,674
9/21/2019,123
9/22/2019,64
9/23/2019,692
9/24/2019,650
9/25/2019,622
9/26/2019,566
9/27/2019,574
9/28/2019,93
9/29/2019,81
9/30/2019,679
10/1/2019,700
10/2/2019,554
10/3/2019,668
10/4/2019,687
10/5/2019,137
10/6/2019,76
10/7/2019,792
10/8/2019,679
10/9/2019,552
10/10/2019,618
10/11/2019,643
10/12/2019,147
10/13/2019,81
10/14/2019,653
10/15/2019,640
10/16/2019,586
10/17/2019,629
10/18/2019,622
10/19/2019,126
10/20/2019,76
10/21/2019,906
10/22/2019,785
10/23/2019,667
10/24/2019,678
10/25/2019,656
10/26/2019,92
10/27/2019,68
10/28/2019,885
10/29/2019,632
10/30/2019,617
10/31/2019,605
11/1/2019,634
11/2/2019,128
11/3/2019,90
11/4/2019,789
11/5/2019,791
11/6/2019,640
11/7/2019,727
11/8/2019,724
